code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
993,闽东电力,水力发电,福建,34.08,3.73,3.73,385804.03,120347.86,150440.72,104068.43,2.79,0.323,4.35,3.37,2000/7/31,18655.47,0.5,-34.36,95.11,60.85,24.77,28345
557,西部创业,红黄药酒,宁夏,0,5.85,14.58,523423.44,91287.67,353273.63,197501.72,1.35,-0.043,2.65,2.88,1994/6/17,29050.63,0.2,14.46,-189.77,5.88,-12.78,55753
300030,阳普医疗,医疗保健,广东,128.17,2.53,3.09,146987.84,59605.48,31076.02,39441.05,1.28,0.099,3.06,4.14,2009/12/25,20678.85,0.67,-5.18,-23.49,46.54,5.89,28900
2341,新纶科技,化工原料,深圳,140.9,2.9,5.03,523222.25,240218.95,120667.02,78432.03,1.56,0.102,3.99,4.82,2010/1/22,29578.65,0.59,23.26,980.07,29.66,5.35,40313
893,东凌国际,食品,广东,480.6,4.01,7.57,529892,105854.47,66083.68,373424.88,4.93,0.024,5.63,2.75,1998/12/24,-26324.48,-0.35,-79.74,107.88,6.4,1.11,40163
300376,易事特,电气设备,广东,71.41,1.72,5.76,916837.38,692551.44,163893.06,191004.48,3.32,0.9,6.36,9.19,2014/1/27,104424.45,1.81,42.44,69,17.26,8.99,42300
601107,四川成渝,路桥,四川,12,21.63,30.58,3457803.25,821467.19,55538.8,184394.06,0.6,0.336,4.35,1.24,2009/7/27,447917.84,1.46,4.24,24.87,35.99,20.47,80180
300072,三聚环保,环境保护,北京,46.26,9.06,11.96,1851071.25,1636467.25,152744.45,221995.55,1.86,1.38,5.25,11.92,2010/4/27,296750.84,2.48,207.66,97.07,17.73,9.22,31454
603355,莱克电气,家用电器,江苏,48.62,0.67,4.01,461095.75,363163.16,76426.25,79597.63,1.98,0.835,7.01,7.72,2015/5/13,141499.17,3.53,1.26,35.76,27.08,11.02,14781
2258,利尔化学,农药化肥,四川,38.38,5.24,5.24,311643.66,114282.3,132251.3,81014.02,1.54,0.397,3.88,3.93,2008/7/8,57703.75,1.1,33.12,50.48,24.22,10.51,20215
300325,德威新材,塑料,江苏,86.75,7.94,10.17,319041.13,248537.17,37504.78,5960.08,0.06,0.06,1.43,4.28,2012/6/1,37955.34,0.37,22.5,5.29,13.12,3.86,20358
2616,长青集团,环境保护,广东,61.8,2.24,3.72,317214.59,102072.17,109687.6,128706.63,3.46,0.29,5.15,4.46,2011/9/20,32198.3,0.86,20.34,28.24,26.5,7.29,15127
590,启迪古汉,中成药,湖南,279.12,2.23,2.23,59236.88,22981.1,14046.29,15244.8,0.68,0.055,0.98,21.05,1996/1/19,-20354.5,-0.91,0,-60.83,51.87,5.46,13786
300482,万孚生物,生物制药,广东,99.3,1.06,1.76,100574.71,72620.11,22005.95,29052.58,1.65,0.824,4.79,17.09,2015/6/30,32878.73,1.87,27.65,15.66,68.49,26.49,10899
600529,山东药玻,玻璃,山东,33.09,2.57,3.04,317373.88,174468.97,121057.1,58580.33,1.93,0.428,9.01,2.1,2002/6/3,123067.45,4.05,10.45,14.62,32.94,8.97,21578
300432,富临精工,汽车配件,四川,61.79,1.45,5.1,152427.95,110737.82,31325.01,11843.07,0.23,0.316,2.75,9.44,2015/3/19,45923.03,0.9,31.26,25.42,33.95,19.82,27000
2586,围海股份,建筑施工,浙江,273.62,6.94,10.42,492160.91,243254.34,19408.56,41947.01,0.4,0.027,2.19,4.5,2011/6/2,34581.42,0.33,6.95,41.62,11.39,2.11,26839
766,通化金马,中成药,吉林,99.45,4.49,9.66,519363.59,137338.97,78184.63,364242.94,3.77,0.15,4.19,4.4,1997/4/30,-67270.92,-0.7,266.07,1773.71,68.17,25.66,30934
2567,唐人神,饲料,湖南,44.5,4.2,5.35,409833.78,179169.73,127064.42,125489.77,2.35,0.252,4.99,3,2011/3/25,53741.8,1.01,7.3,102.62,9.53,1.72,23025
2217,合力泰,元器件,山东,39.52,8.09,15.64,1231503.88,742041.25,187101.05,357690.69,2.29,0.37,4.28,4.55,2008/2/20,101538.65,0.65,166.56,235.18,16.64,7.5,30224
