code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
2770,科迪乳业,乳制品,河南,65.15,2.71,5.76,225534.27,78141.3,97213.21,17491.1,0.3,0.12,2.1,4.95,2015/6/30,38405.55,0.67,19.22,-3.41,31.68,11.58,43843
300473,德尔股份,汽车配件,辽宁,54.82,0.47,1.05,191418.05,149032.56,29737.09,99233.36,9.46,0.855,14.91,4.19,2015/6/12,34118.32,3.25,-21.98,-28.49,39.18,20.32,12470
511,*ST烯碳,矿物制品,辽宁,0,11.55,11.55,348693.53,257773.47,311.76,6361.47,0.06,-0.07,1.21,5.18,1993/5/18,-856.55,-0.01,-32.83,-461.86,0.53,-13.56,184918
600302,标准股份,纺织机械,陕西,0,3.46,3.46,152712.94,116679.17,17769.59,34744.48,1,-0.106,3.24,3.01,2000/12/13,19656.17,0.57,-15.75,12.39,18.74,-8.56,22682
600982,宁波热电,供气供热,浙江,60.63,6.76,7.47,346129.88,188529.63,83119.75,104906.63,1.4,0.069,3.26,1.72,2004/7/6,45127.53,0.6,-2.95,-37.08,16.36,6.41,51878
600426,华鲁恒升,农药化肥,山东,18.97,12.4,12.47,1320554.38,199773.16,823083.75,236894.55,1.9,0.702,6.55,2.03,2002/6/20,396272.72,3.18,-10.98,-3.22,20.23,11.37,36756
601881,中国银河,证券,北京,28.62,6,101.37,24091738,0,0,0,0,0.35,5.95,2.25,2017/1/23,0,0,-49.53,-52.09,0,36.46,476376
2476,宝莫股份,化工原料,山东,221.28,6.02,6.12,154931.25,79699.46,33445.3,20521.75,0.34,0.031,1.67,5.49,2010/9/15,16991.24,0.28,38.98,-32.51,17.13,2.8,46874
600081,东风科技,汽车配件,上海,44.86,3.14,3.14,421937,236891.95,110085.55,1522.9,0.05,0.248,3.54,4.19,1997/7/3,65543.81,2.09,8.52,-42.97,17.69,2.17,29212
600660,福耀玻璃,汽车配件,福建,18.04,20.03,25.09,2986584.5,1496795.88,926746.5,622875.31,2.48,1.253,7.19,3.15,1993/6/10,757088.94,3.02,22.45,20.68,43.07,18.92,60181
600844,丹化科技,化工原料,上海,0,5.85,10.17,372925.22,111922.85,182748.55,176025.25,1.73,-0.13,1.88,4.13,1994/3/11,-91972.7,-0.9,-35.91,-13206.3,10.19,-20.39,49393
600393,粤泰股份,全国地产,广东,135.95,4.94,12.68,1249276.38,1100629.75,20548.72,333986.88,2.63,0.13,3.82,4.07,2001/3/19,12563.32,0.1,2.92,164.9,45.12,15.22,10347
600297,广汇汽车,汽车服务,辽宁,18.94,18.4,55,10888002,6250284.5,1098631.75,815432.94,1.48,0.364,4.18,2.2,2000/11/16,904876.13,1.65,36.51,61.01,9.33,2.23,60750
300391,康跃科技,机械基件,山东,869.51,0.62,1.67,74810.93,38749.05,27644.58,6815.7,0.41,0.025,2.17,10.14,2014/8/1,11041.03,0.66,22.81,-16.05,32.55,1.8,12453
2136,安 纳 达,化工原料,安徽,93.47,2.14,2.15,96874.96,30720.64,59350.05,35026.01,1.63,0.198,2.34,7.89,2007/5/30,-7587.83,-0.35,35.05,131.82,15.26,5.19,22981
2541,鸿路钢构,钢加工,安徽,40.2,1.66,3.49,807227.44,645879.94,121008.77,230365.05,6.6,0.43,10.92,1.69,2011/1/18,107125.88,3.07,11.04,1.28,18.46,5.09,14208
603015,弘讯科技,电气设备,浙江,99.66,1.6,4,133097.23,99021.63,15953.5,41606.43,1.04,0.091,2.75,4.42,2015/3/3,24785.48,0.62,22.19,-38.72,41.73,10,25309
2368,太极股份,软件服务,北京,145.22,4.02,4.16,495863.5,321817,7106.31,96196.78,2.31,0.156,5.18,5.83,2010/3/12,73455.46,1.77,18.48,6.67,19.33,2.17,12704
600525,长园集团,电气设备,深圳,31.14,11.12,13.17,1561996,704018.31,100065.65,205351.38,1.56,0.53,5.36,2.83,2002/12/2,249700.97,1.9,40.54,32.53,44.6,10.94,36809
600835,上海机电,运输设备,上海,15.27,8.07,10.23,3174104,2679769.75,162199.19,204037,2,1.417,9.01,2.4,1994/2/24,470663.66,4.6,-1.85,-21.01,21.95,7.65,64490
600182,S佳通,汽车配件,黑龙江,60.1,1.7,3.4,238495.09,130137.45,100463.4,119.85,0,0.352,2.71,10.38,1999/5/7,48614.76,1.43,-12.33,-29.14,24.27,5.49,30115
300476,胜宏科技,元器件,广东,37.34,1.7,3.75,236174.05,148517.75,74886.75,57436.45,1.53,0.619,3.86,5.99,2015/6/11,50293.45,1.34,41.5,83.4,27.32,12.77,20484
603027,千禾味业,食品,四川,55.47,0.67,1.6,102665.56,51821.76,44112.28,39539.43,2.47,0.67,5.57,6.24,2016/3/7,30370.53,1.9,23.62,50.44,40.97,12.98,17123
300064,豫金刚石,矿物制品,河南,79.99,6.06,12.05,456018.81,158963.72,149632.36,70058.06,0.58,0.095,3.03,3.35,2010/3/26,60731.15,0.5,28.79,50.99,33.35,14.79,29644
300211,亿通科技,通信设备,江苏,294.51,1.74,3.03,59437.88,35664.12,14884.9,3736.85,0.12,0.028,1.67,6.51,2011/5/5,14500.32,0.48,13.99,10.41,25.44,4.86,14386
601311,骆驼股份,电气设备,湖北,31.27,8.48,8.48,664864.38,342280.5,194948.75,103298.8,1.22,0.382,5.49,2.9,2011/6/2,265206.66,3.13,15.05,-13.54,22.85,7.65,40492
600133,东湖高新,园区开发,湖北,113.19,5.38,6.34,1771126.75,1416180.75,88553.88,56887.36,0.9,0.053,2.73,2.93,1998/2/12,32885.64,0.52,-17.76,-9.87,17.4,1.13,66127
603658,安图生物,医疗保健,河南,54.96,0.42,4.2,182144.06,117508.67,45022.98,53500.46,1.27,0.89,3.92,11.69,2016/9/1,58869.38,1.4,36.81,25.8,71.98,35.68,18971
603444,吉比特,互联网,福建,38.84,0.18,0.71,264304.5,219439.8,3557.65,89224.11,12.54,10.97,27.07,11.8,2017/1/4,92747.21,13.03,335.08,234.59,95.99,44.85,19136
2288,超华科技,元器件,广东,1138.72,6.6,9.32,249573.05,137250.27,57768.48,54885.13,0.59,0.005,1.87,3.89,2009/9/3,24242.35,0.26,-5.83,-84.67,10.24,0.67,81331
826,启迪桑德,环境保护,湖北,30.69,8.47,8.54,2094905.75,722777.94,147762.86,225013.34,2.63,0.838,8.67,3.96,1998/2/25,346396.31,4.05,28.69,16.1,29.84,13.38,29295
600141,兴发集团,化工原料,湖北,73.36,4.8,5.12,2138083.75,386603.94,1191332.63,285648.56,5.58,0.17,11.49,1.27,1999/6/16,125487.36,2.45,17.34,32.02,13.02,0.7,31652
600619,海立股份,机械基件,上海,139.21,4.61,8.66,1104799,578011.63,357884.44,210478.91,2.43,0.063,4.47,2.62,1992/11/16,64210.32,0.74,18.83,21.05,14.31,1.04,53628
603515,欧普照明,电气设备,上海,50.07,0.58,5.79,466552.69,328700.44,100637.22,104745.53,1.81,0.57,5.05,6.83,2016/8/19,114739.07,1.98,0,0,41.09,8.24,41467
300277,海联讯,软件服务,深圳,0,3.34,3.35,65476.16,48022.8,10656.98,8288.05,0.25,-0.054,1.33,8.25,2011/11/23,972.37,0.03,-59.31,-269.59,25.12,-19.91,14551
600234,ST山水,文教休闲,山西,249.84,2.02,2.02,49885.35,2530.54,213.83,32897.26,1.62,0.07,0.48,36.9,2000/6/15,-44741.93,-2.21,88.33,188.58,71.66,69.18,15094
300435,中泰股份,机械基件,浙江,64.97,0.82,2.45,104074.77,90869.25,7812.49,15740.88,0.64,0.32,2.81,6.01,2015/3/26,27729.58,1.13,-28.4,-10.69,38.14,21.96,15087
600750,江中药业,中成药,江西,28.53,3,3,306574.72,174715.95,62692.88,55067.53,1.84,1.266,8.72,4.14,1996/9/23,159525.13,5.32,-39.87,3.47,70.87,24.31,26001
950,*ST建峰,农药化肥,重庆,0,5.99,5.99,561675.94,89352.85,407710.72,107012.7,1.79,-0.916,1.93,4.96,1999/9/16,-62811.63,-1.05,-26.95,-149.71,-6.44,-29.12,30356
600062,华润双鹤,化学制药,北京,23.99,5.72,7.24,824155,430579.31,226933.47,65991.21,0.91,0.986,9.23,2.56,1997/5/22,493922.69,6.82,6.94,8.04,53.11,13,22182
300407,凯发电气,电气设备,天津,35.78,1.35,2.72,176017.69,147034.16,17278.06,12315.63,0.45,0.356,3.22,5.27,2014/12/3,44569.01,1.64,0.57,81.02,42.37,33.01,10385
2354,天神娱乐,互联网,辽宁,42.18,1.52,2.92,609189.44,128698.6,1032.99,368544.31,12.62,1.159,17.72,3.68,2010/2/9,108403.63,3.71,147.76,39.42,55.19,25.84,17167
601601,中国太保,保险,上海,20.61,62.87,90.62,102069200,0,1311600,6674200,7.37,1.331,14.54,1.89,2007/12/25,3877200,4.28,8.01,-31.99,0,4.52,92713
939,凯迪生态,新型电力,湖北,103.39,10.61,19.65,3602557.25,1145824.88,1248755.5,399835.34,2.03,0.086,5.02,2.36,1999/9/23,180450.92,0.92,41.85,-26.78,31.75,4.96,62174
2228,合兴包装,广告包装,福建,58.11,10.39,10.43,336296.69,188645.72,84593.21,1289.56,0.01,0.067,1.53,3.39,2008/5/8,51239.8,0.49,17.93,-24.75,17.39,2.82,37052
601126,四方股份,电气设备,北京,42.27,8.13,8.13,593864.19,456528.91,59589.7,140850.72,1.73,0.185,4.55,2.29,2010/12/31,130048.6,1.6,2.06,2.09,40.75,7.33,26168
300267,尔康制药,化学制药,湖南,28.66,11.45,20.6,517947.94,274401.38,150648.17,94339.36,0.46,0.351,2.35,5.7,2011/9/27,174514.77,0.85,54.3,69.36,50.47,38.13,18207
937,冀中能源,煤炭开采,河北,218.9,28.69,35.34,4312667,1623705.38,1376247.75,415529,1.18,0.023,5.25,1.28,1999/9/9,900537.63,2.55,-11.02,4699.33,21.96,0.9,78255
600511,国药股份,医药商业,北京,29.33,2.78,4.79,740146.31,609889.56,53760.07,8939.12,0.19,1.144,7.36,4.56,2002/11/27,254311.91,5.31,10.83,6.78,7.42,4.09,22993
2051,中工国际,建筑施工,北京,27.7,9.2,9.28,1885744.38,1349085.75,162843.95,182018.63,1.96,0.767,6.99,4.05,2006/6/19,342068.06,3.69,4.43,23.07,18.24,14.25,22305
601098,中南传媒,出版业,湖南,20.56,17.96,17.96,1787848.25,1548587.5,134275.52,444338.75,2.47,0.655,6.74,2.67,2010/10/28,530728.63,2.96,6.32,6.1,43.61,16.95,22699
603358,华达科技,汽车配件,江苏,37.58,0.4,1.6,222431.52,129601.75,66183.4,41137.95,2.57,1.255,9.75,6.45,2017/1/25,58091.18,3.63,0,0,24.3,10.85,37132
600998,九州通,医药商业,湖北,52.69,16.31,16.47,3759992.75,3137962.25,302115.19,399076.16,2.42,0.278,6.6,2.95,2010/11/2,286347.63,1.74,24.08,21.86,7.28,1.01,22119
591,太阳能,新型电力,重庆,29.88,3.89,13.67,2976845.25,800632.19,1736557,806271.06,5.9,0.52,8.26,1.73,1996/2/8,186641.5,1.37,19.37,38.18,32.86,15.07,34639
603990,麦迪科技,软件服务,江苏,91.83,0.2,0.8,69034.31,46050.65,21787.85,14930.45,1.87,0.75,4.94,10.51,2016/12/8,15125.92,1.89,19.21,16.04,68.83,18.79,12724
603859,能科股份,软件服务,北京,221.84,0.28,1.14,80474.81,71628.43,3835.38,28239.8,2.49,0.47,5.7,14.52,2016/10/21,22468.57,1.98,3.33,9.51,49.86,18.55,13919
600361,华联综超,超市连锁,北京,0,6.66,6.66,1140421.5,820028.69,70159.57,167024.27,2.51,-0.223,4.1,1.66,2001/11/29,25093.95,0.38,-4.49,-320.6,21.46,-1.52,30882
600139,西部资源,铜,四川,0,6.62,6.62,686724.94,217874.95,49477.95,37900.96,0.57,-0.349,1.19,10.75,1998/2/25,-35197.05,-0.53,-29.97,-6868.15,25.93,-33.81,46189
300257,开山股份,机械基件,浙江,186.58,8.19,8.58,515036,325736.56,86858.8,150788.16,1.76,0.088,3.96,5.52,2011/8/19,90115,1.05,-7.02,-55.87,24.18,6.12,14708
726,鲁 泰Ａ,纺织,山东,14.72,5.61,9.23,940710.31,322324.59,524433.56,75344.05,0.82,0.85,7.52,1.71,2000/12/25,431988.75,4.68,-3.1,13.09,33.05,13.47,65385
627,天茂集团,保险,湖北,28.65,13.54,42.59,11320925,2040125.63,50660.5,660827.06,1.55,0.21,3.17,2.39,1996/11/12,98680.18,0.23,-9.33,1610.35,13.28,239.12,97900
2563,森马服饰,服饰,浙江,18.57,18.39,26.95,1294805.5,897577.88,118623.72,254421.27,0.94,0.529,3.71,2.65,2011/3/11,391584.06,1.45,12.83,5.73,38.36,13.37,30963
600112,天成控股,电气设备,贵州,738.36,5.09,5.09,273563.59,93166.71,34135.19,46326.03,0.91,0.011,2.29,4.64,1997/11/27,16959.84,0.33,-20.94,20.52,38.79,1.33,51847
600348,阳泉煤业,煤炭开采,山西,97.31,24.05,24.05,3867660.5,1287889.63,1063493.38,0,0,0.053,5.58,1.23,2003/8/21,743466.69,3.09,-7.72,-52.55,14.36,1.03,97026
818,方大化工,化工原料,辽宁,152.35,6.91,6.91,258217.47,51498.94,139508,125299.32,1.81,0.06,3.12,3.92,1997/10/17,17060.42,0.25,-5.99,-28.84,13.68,2.33,45569
600346,恒力股份,化纤,辽宁,20.09,6.68,28.26,1969875.63,869198,995853.19,90722.06,0.32,0.45,2.07,4.05,2001/8/20,187495.22,0.66,3.96,91.58,13.46,6.13,34200
2230,科大讯飞,软件服务,安徽,96.11,11.64,13.26,1041394.19,553288.56,105969.35,412127,3.11,0.365,5.37,6.54,2008/5/12,151369.44,1.14,32.78,13.9,50.52,14.59,124178
300507,苏奥传感,汽车配件,江苏,70.8,0.17,0.67,94635.75,80256.88,11219.75,35759,5.36,1.58,11.8,8.67,2016/4/29,32622.48,4.89,22.5,23.61,30.87,16.74,13443
600222,太龙药业,中成药,河南,1530.55,5.19,5.74,274412,139790.25,69357.02,65246.76,1.14,0.004,2.58,2.96,1999/11/5,20561.89,0.36,-10.21,3.34,29.75,0.33,45032
600067,冠城大通,全国地产,福建,31.98,14.92,14.92,1987430.25,1463707.5,136345.47,123588.02,0.83,0.215,4.57,1.51,1997/5/8,368831.47,2.47,-17.2,51.34,24.37,5.25,67623
633,*ST合金,综合类,辽宁,0,3.85,3.85,88535.92,75712.09,10792.37,4787.01,0.12,-0.096,0.31,34.77,1996/11/12,-37922.1,-0.98,-17.82,-88.51,4.54,-126.29,25612
2620,瑞和股份,装修装饰,深圳,68.63,0.94,1.45,324235.41,237098.3,14400.4,136431.75,9.41,0.59,13.65,3.48,2011/9/29,38752.3,2.67,28.08,41.43,13.69,4.75,9207
300433,蓝思科技,元器件,湖南,63.26,2.06,21.82,2238809.25,811055.5,1096996.88,320686.31,1.47,0.38,6.24,4.92,2015/3/18,753157.13,3.45,-16.6,-26.65,25.7,7.46,45796
502,绿景控股,医疗保健,广东,88.52,1.83,1.85,62277.19,54398.41,2889.45,2282.03,0.12,0.174,1.15,13.39,1992/11/23,-223.46,-0.01,1415.35,235.63,53.94,10.72,21211
600416,湘电股份,电气设备,湖南,115.73,7.03,9.46,1987680.63,1493498.5,163212.84,484715.44,5.12,0.17,6.81,2.49,2002/7/18,46683.48,0.49,15.24,118.61,13.13,1.27,36893
300117,嘉寓股份,装修装饰,北京,75.68,7.16,7.17,443029.44,367424.53,40284.59,14981.13,0.21,0.069,1.95,3.56,2010/9/2,48863.48,0.68,-8.81,11.2,14.67,3.81,17760
603031,安德利,百货,安徽,93.98,0.2,0.8,133752.61,49569.3,56756.71,24486.02,3.06,0.389,7.13,6.83,2016/8/22,24092.53,3.01,0,0,19.9,2.75,26792
600132,重庆啤酒,啤酒,重庆,29.86,4.84,4.84,398065.56,195066.81,116829.1,0,0,0.545,2.7,8.02,1997/10/30,59194.1,1.22,-4.1,53.14,40.96,9.8,28612
600195,中牧股份,饲料,北京,30.26,4.3,4.3,585695.13,331467.34,147565.52,91407.75,2.13,0.499,7.39,2.73,1999/1/7,158595.38,3.69,-11.81,-6.63,29.13,7.81,20856
2742,三圣股份,其他建材,重庆,45.43,0.71,2.16,279948.63,149803.27,80195.36,46837.19,2.17,0.546,6.04,4.11,2015/2/17,54673.41,2.53,7.23,-3.16,24.2,7.79,16174
2409,雅克科技,化工原料,江苏,113.98,1.65,3.44,183998.56,74410.78,27973.02,70392.36,2.05,0.2,4.58,4.91,2010/5/25,41564.96,1.21,-11.06,-24.86,23.26,7.58,6596
600711,盛屯矿业,小金属,福建,55.73,14.57,14.97,989775.5,505908.81,73912.63,198666.81,1.33,0.126,2.68,2.62,1996/5/31,49488.2,0.33,90.78,36.19,6.42,1.48,136999
300278,华昌达,专用机械,湖北,98.74,2.24,5.45,437764.44,275662.31,32663.9,69121.21,1.27,0.214,2.86,7.37,2011/12/16,34532.23,0.63,29.32,15.71,19.63,5.15,13017
600438,通威股份,饲料,四川,20.25,19.34,38.82,1870198.25,591442.31,769568.94,324569.34,0.84,0.29,2.53,2.48,2004/3/2,173531.36,0.45,9.52,56.69,15.64,5.74,42263
2080,中材科技,化纤,江苏,39.39,1.83,8.07,2057704.75,843481.31,958924.63,552837.88,6.85,0.53,9.9,1.98,2006/11/20,143740,1.78,-2.26,-36.32,25.64,4.48,22245
300034,钢研高纳,小金属,北京,92.68,4.19,4.2,179393.05,117807.11,48240.57,33170.28,0.79,0.229,3.1,6.84,2009/12/25,47065.05,1.12,-3.97,-22.79,29.39,14.08,18107
565,渝三峡Ａ,染料涂料,重庆,24.37,4.34,4.34,133266.59,75549.97,24292.51,5785.16,0.13,0.515,2.27,5.54,1994/4/8,37118.65,0.86,263.59,54.58,7.58,9.48,52189
2250,联化科技,化工原料,浙江,53.94,5.51,9.05,600107.5,211694.75,286328.47,92146.46,1.02,0.32,5.21,3.02,2008/6/19,238325.41,2.63,-22.67,-58.65,33.39,8.51,19354
2489,浙江永强,家居用品,浙江,78.29,18.71,21.76,555667.5,327717.63,101569.36,24905.4,0.11,0.075,1.55,5.09,2010/10/21,76818.36,0.35,15.86,-57.8,29.08,6.32,139000
600500,中化国际,商贸代理,上海,76.5,17.23,20.83,5198251,2480016.25,1051055,444103.59,2.13,0.108,5.44,2.03,2000/3/1,456325.81,2.19,-11.5,-45.24,10.9,0.78,64768
581,威孚高科,汽车配件,江苏,13.2,8.36,10.09,1638793.75,947342.63,244888.8,339736,3.37,1.298,12.41,1.84,1998/9/24,748311.06,7.42,8.65,1.22,21.51,26.79,43000
300330,华虹计通,软件服务,上海,0,1.68,1.69,53075.67,41521.37,10968.37,19397.76,1.15,-0.062,2.39,6.92,2012/6/19,2974.36,0.18,-24.52,-974.33,89.66,-9.58,12235
300295,三六五网,互联网,江苏,39.14,1.74,1.92,130559.77,90177.93,1147.45,27535.4,1.43,0.469,5.25,4.66,2012/3/15,48533.89,2.53,3.6,17.27,93.5,20.02,35524
300466,赛摩电气,电器仪表,江苏,348.77,0.95,2.97,132869.86,59817.38,16894.48,60295.8,2.03,0.073,3.64,9.34,2015/5/28,16205.3,0.55,17.26,41.26,42.41,12.28,30061
622,*ST恒立,汽车配件,湖南,0,4.25,4.25,28222.6,17282,4055.23,18291.42,0.43,-0.045,0.32,27.51,1996/11/7,-47480.43,-1.12,-30.08,16.65,7.9,-65.01,20013
603608,天创时尚,服饰,广东,49.89,0.91,2.8,184079.34,142374.27,23969.06,84246.36,3.01,0.32,5.34,3.71,2016/2/18,34021.73,1.22,0,0,58.26,7.67,28968
600555,海航创新,旅游景点,海南,0,9.74,13.04,384537.03,209275.48,5582.15,40388.62,0.31,-0.018,1.32,4.21,2001/3/28,-16463.15,-0.13,-80.11,-269.79,15.68,-89.17,104112
600380,健康元,化学制药,深圳,30.33,15.62,15.86,1643371.88,851407.19,433769.34,112398.67,0.71,0.236,3.44,2.77,2001/6/8,257208.41,1.62,13.99,-15.13,62.95,5.07,131929
300196,长海股份,玻璃,江苏,30.64,1.07,2.12,306356.75,165977.67,110244.01,118523.38,5.58,0.915,10.4,3.59,2011/3/29,74827.86,3.53,21.96,22.69,33.05,14.92,5876
300382,斯莱克,专用机械,江苏,77.35,0.64,1.25,122447.55,90991.72,23347.3,50487.18,4.03,0.46,7.8,5.71,2014/1/29,29096.02,2.32,9.04,-15.33,50.26,26.1,5523
300158,振东制药,中成药,山西,75.66,2.86,5.2,690507.25,283899.53,100550.3,425431.56,8.18,0.3,9.76,2.04,2011/1/7,28048.55,0.54,27.97,105.02,42.51,5.26,13327
2310,东方园林,建筑施工,北京,62.02,14.16,26.77,1953557.25,1556353.63,82554.32,21320.36,0.08,0.193,2.66,6,2009/11/27,361757.56,1.35,46.39,97.02,28.87,10.32,82965
2656,摩登大道,服饰,广东,0,2.56,4.1,336135.19,167484.45,38911.53,115820.86,2.83,-0.18,4.77,3.69,2012/2/28,34507.55,0.84,5.56,-550.63,53.6,-11.74,9370
2020,京新药业,化学制药,浙江,28.7,4.52,6.39,311029.16,144572.59,59870.07,120841.57,1.89,0.314,3.7,3.24,2004/7/15,48495.14,0.76,30.92,38.93,52.68,14.84,28731
539,粤电力Ａ,火力发电,广东,14.93,25.54,52.5,7161943,1194051,4350210.5,500774.66,0.95,0.281,4.56,1.23,1993/11/26,667552.25,1.27,-16.48,-44.07,24.82,8.98,111580
600000,浦发银行,银行,上海,6.38,216.18,216.18,556428224,0,2097700,7467800,3.45,1.87,15.26,1.05,1999/11/10,8579200,3.97,11.32,9.47,0,33.64,162071
603566,普莱柯,生物制药,河南,41.1,1.62,3.24,160248.7,99931.15,25188.17,41297.9,1.28,0.483,4.52,5.85,2015/5/18,64058.75,1.98,17.99,33.31,71.79,36.6,15227
600739,辽宁成大,商贸代理,辽宁,24.38,13.65,15.3,3179937.75,464183.91,345638.91,625550.31,4.09,0.544,11.91,1.48,1996/8/19,937031.88,6.13,-6.98,-43.43,22.03,13.69,105927
409,山东地矿,综合类,山东,2372.65,3.58,4.73,635064.19,259263.02,87590.88,46365.14,0.98,0.004,2.39,5.74,1996/6/27,19491.84,0.41,207.98,-87.27,16.47,0.1,35868
600568,中珠医疗,区域地产,湖北,64.42,5.59,7.12,774202.69,492605.41,48063.67,430045.56,6.04,0.27,8.09,2.5,2001/5/18,68253.5,0.96,95.4,158.56,32.28,17.98,12598
520,长航凤凰,水运,湖北,843.73,10.12,10.12,52778.26,41766.93,9175.4,195956.11,1.94,0.01,0.26,30.84,1993/10/25,-295675.75,-2.92,-7.52,-92.07,18.9,1.36,126000
900,现代投资,路桥,湖南,12.53,10.1,10.12,2162181.25,720825.94,256685.45,97269.88,0.96,0.534,7.36,1.21,1999/1/28,461093.94,4.56,35.55,62.59,17.78,8.08,63115
603589,口子窖,白酒,安徽,22.06,2.94,6,535764.94,353581.06,113501.02,97688.22,1.63,1.187,6.95,5.02,2015/6/29,239462.13,3.99,10.48,32.21,72.6,30.51,42243
603021,山东华鹏,玻璃,山东,80.38,0.64,1.23,274050.09,100052.88,41927.94,80333.88,6.53,0.44,10.95,3.88,2015/4/23,39773.15,3.23,-7.66,14.02,33.34,9.37,9170
300130,新国都,电脑设备,深圳,53.06,1.53,2.35,285911.28,114263.67,43818.35,66837.61,2.84,0.335,5.93,3.99,2010/10/19,46722.3,1.99,27.99,73.23,41.76,10.93,18415
601515,东风股份,广告包装,广东,22.71,11.12,11.12,522875.31,266037.91,132286.72,15020.42,0.14,0.405,3.1,3.96,2012/2/16,187105.06,1.68,-0.2,-20.27,45.06,26.21,19021
600385,山东金泰,黄金,山东,1189.54,1.43,1.48,17471.03,15876.01,64.57,29904.44,2.02,0.012,0.49,38.17,2001/7/23,-40264.46,-2.72,68.17,154.71,4.17,0.61,17387
802,北京文化,旅游服务,北京,25.04,3.8,7.26,527662.25,331443.56,4545.16,326750.28,4.5,0.86,6.08,2.96,1998/1/8,60356.28,0.83,165.22,2361.29,53.64,56.38,41595
600432,*ST吉恩,小金属,吉林,0,8.11,16.04,1623786.13,416592.06,872208.63,627615.56,3.91,-0.377,2.91,2.25,2003/9/5,-296976.72,-1.85,-31.19,6.51,8.17,-30.15,73034
2810,山东赫达,化工原料,山东,85.37,0.24,0.96,102905.61,56236.91,34368.81,19075.25,2,0.5,6.64,6.66,2016/8/26,30115.98,3.15,0,0,25.5,8.87,16144
901,航天科技,航空,黑龙江,369.7,3.24,4.09,221713.55,157675.06,25315.45,64249.2,1.57,0.068,4.36,7.7,1999/4/1,39152.87,0.96,-0.9,-3.22,23.52,2.35,56444
600028,中国石化,石油加工,北京,14.97,955.58,1210.71,149860896,41226100,69059400,11952500,0.99,0.383,5.88,0.98,2001/8/8,27516300,2.27,-4.43,43.79,22.72,2.4,609380
603012,创力集团,专用机械,上海,56.33,4.24,6.37,332924.53,271325,25822.47,86021.5,1.35,0.131,3.78,2.61,2015/3/20,81730.11,1.28,-13.6,-18.66,38.45,13.32,31965
600724,宁波富达,区域地产,浙江,65.25,14.45,14.45,1549259,1290088.13,61187.35,26015.1,0.18,0.088,1.79,3.21,1996/7/16,66902.35,0.46,102.4,110.99,32.58,2.29,35813
300092,科新机电,专用机械,四川,92.17,1.64,2.38,69942.71,45814.87,21562.1,26128.93,1.1,0.14,2.17,5.7,2010/7/8,5456.87,0.23,59.09,177.8,22.1,8.52,20285
300441,鲍斯股份,机床制造,浙江,109.87,0.87,3.49,134098.09,55686.43,34732.62,47085.3,1.35,0.16,2.84,7.54,2015/4/23,14997.04,0.43,89.66,106.89,32.68,13.38,29873
600187,国中水务,水务,黑龙江,590.51,14.56,16.54,415801.63,98052.46,77085.09,133762,0.81,0.01,1.76,3.28,1998/11/11,-26344.99,-0.16,-24.62,113.73,33.92,4.52,169929
300045,华力创通,电脑设备,北京,145.5,3.57,5.61,126352.13,82019.11,7604.93,15372.05,0.27,0.091,1.8,7.36,2010/1/20,27508.4,0.49,0.86,62.96,48.51,12.19,39371
6,深振业Ａ,区域地产,深圳,14.36,13.45,13.5,1317038.5,1108248.38,284.11,48432.15,0.36,0.577,3.71,2.23,1992/4/27,191211.27,1.42,-8.09,86.82,29.13,23.18,84055
601020,华钰矿业,铅锌,西藏,123.46,2.81,5.26,265324.47,71624.61,66542.5,35630.43,0.68,0.21,2.91,11.4,2016/3/16,51105.35,0.97,0,0,63.9,26.7,25532
300563,神宇股份,通信设备,江苏,103.2,0.2,0.8,61480.3,36377.15,21113.1,15894.55,1.99,0.58,5.3,8.76,2016/11/14,16639.77,2.08,18.5,10.82,25.27,11.52,15576
603368,柳州医药,医药商业,广西,33.1,0.57,1.42,627892.69,569642.56,36856.39,218929.67,15.38,2.34,22.41,3.33,2014/12/4,76580.9,5.38,16.16,54.05,9.41,4.25,24527
2296,辉煌科技,通信设备,河南,78.43,3.16,3.77,221516.47,152583.41,5568.15,63554.63,1.69,0.151,3.97,3.97,2009/9/29,43102.9,1.14,6.2,56.16,47.36,19.74,37299
300388,国祯环保,环境保护,安徽,60.98,1.46,3.06,497671.81,157117.91,23065.84,74169.7,2.43,0.27,4.76,4.37,2014/8/1,50075.19,1.64,25.55,83.96,33.63,8.59,24545
600012,皖通高速,路桥,安徽,29.59,11.66,16.59,1312080.25,227616.27,88295.25,28052.33,0.17,0.563,5.23,3.18,2003/1/7,578746.44,3.49,2.97,-0.49,57.49,37.34,21770
2468,申通快递,仓储物流,浙江,6254.48,3.32,15.31,153842.56,99285.36,41224.78,26216.8,0.17,0.003,2.2,12.9,2010/9/8,10487.73,0.07,2.77,5.38,14.47,0.48,28676
592,平潭发展,林业,福建,454.27,19.13,19.32,386898.56,325425.81,22735.21,142599.3,0.74,0.011,1.64,4.08,1996/3/27,-22978.17,-0.12,-14.41,-31.31,13.64,3.5,95365
973,佛塑科技,塑料,广东,64.44,9.67,9.67,487185.09,181506.22,131724.19,31456.9,0.33,0.13,2.22,3.78,2000/5/25,67110.03,0.69,-14.59,51.94,24.74,5.1,123668
